matchup,away_ml,home_ml,pitcher_props,total_pick,total_line,edge_pct,stake_pct,proj_total,confidence,venue,away_sp,home_sp,weather
STL @ CHC,109,-131,Andre Pallante 3.5 (O-148/U116),,10.5,0.0,0.0000,11.3,0,Wrigley Field,Andre Pallante,David Peterson,"72F, 12% rain, wind 5mph"
PIT @ WSH,119,-143,Foster Griffin 6.5 (O126/U-161); Mitch Keller 3.5 (O-153/U120),Over,9.5,11.3,0.0500,11.4,61,Nationals Park,Mitch Keller,Foster Griffin,"104F, 2% rain, wind 8mph"
MIN @ NYY,153,-186,Gerrit Cole 5.5 (O-118/U-108); Mike Paredes 3.5 (O104/U-132),Under,9.5,11.3,0.0000,10.7,45,Yankee Stadium,Mike Paredes,Gerrit Cole,"91F, 16% rain, wind 3mph"
BAL @ CIN,-122,101,Trevor Rogers 5.5 (O-104/U-122); Brady Singer 4.5 (O-145/U113),,10.0,0.0,0.0000,8.3,0,Great American Ball Park,Trevor Rogers,Brady Singer,"98F, 7% rain, wind 6mph"
CHW @ CLE,119,-143,Gavin Williams 5.5 (O-162/U127); Anthony Kay 5.5 (O129/U-166),Over,8.5,20.5,0.0500,10.4,62,Progressive Field,Anthony Kay,Gavin Williams,"89F, 9% rain, wind 6mph"
NYM @ ATL,-102,-119,Grant Holmes 4.5 (O-131/U103); Christian Scott 4.5 (O-122/U-105),Under,9.5,32.2,0.0500,8.3,67,Truist Park,Christian Scott,Grant Holmes,"91F, 12% rain, wind 5mph"
SFG @ COL,-156,129,Ryan Feltner 3.5 (O111/U-142),,11.0,0.0,0.0000,10.1,0,Coors Field,TBD,Ryan Feltner,"92F, 1% rain, wind 8mph"
TBR @ HOU,-110,-110,Spencer Arrighetti 5.5 (O-101/U-126); Nick Martinez 4.5 (O116/U-148),Over,8.5,19.8,0.0500,11.4,70,Daikin Park,Nick Martinez,Spencer Arrighetti,"90F, 6% rain, wind 8mph"
BOS @ LAA,-108,-112,Reid Detmers 7.5 (O122/U-156); Jake Bennett 4.5 (O-132/U103),Under,8.5,10.5,0.0500,7.5,65,Angel Stadium,Jake Bennett,Reid Detmers,"75F, 0% rain, wind 8mph"
MIA @ OAK,108,-131,Jack Perkins 5.5 (O113/U-144); Tyler Phillips 4.5 (O115/U-146),,10.5,0.0,0.0000,11.6,0,Sutter Health Park,Tyler Phillips,Jack Perkins,"91F, 0% rain, wind 10mph"
MIL @ ARI,-168,139,Kyle Harrison 5.5 (O113/U-145); Jose Cabrera 3.5 (O-159/U125),Over,8.5,7.8,0.0163,9.7,57,Chase Field,Kyle Harrison,Jose Cabrera,"105F, 0% rain, wind 6mph"
SDP @ LAD,203,-252,Shohei Ohtani 6.5 (O-138/U109); Michael King 4.5 (O-132/U104),,8.0,0.0,0.0000,8.5,0,UNIQLO Field at Dodger Stadium,Michael King,Shohei Ohtani,"68F, 0% rain, wind 7mph"
TOR @ SEA,-131,109,Dylan Cease 7.5 (O-112/U-113); Luis Castillo 4.5 (O-145/U114),Under,7.5,18.7,0.0500,6.5,68,T-Mobile Park,Dylan Cease,Luis Castillo,"66F, 0% rain, wind 8mph"
